name_english;name_arabic;x;y;reference;description_english
Ashteroth-karnaim;عَشْتَارُوثَ قَرْنَايِمَ;36.01726781;32.83354935;Gen 14: 5;
El-paran;بُطْمَةِ فَارَانَ;34.9465246;29.55391165;Gen 14:6;
En-mishpat (that is, Kadesh);قَادِشُ (عين مشفاط);35.53361488;33.11298278;Gen 14: 7;
Hazazon-tamar;حصون تامار;34.7544823;31.43780978;Gen 14: 7;
Valley of Gerar;وَادِي جَرَارَ;34.69955066;31.34637255;Gen 26: 17;
Admah;ادمه;35.43819734;32.72529908;Gen 14: 2;
Ai;عاي;35.26304893;31.91528362;Gen 12: 8;
Avith;عَوِيتَ;35.78995763;30.15721467;Gen 36: 35;
Babel;بابل;44.42089173;32.53649979;Gen11:09;
Beer Lahai Roi;بِئْرِ لَحَيْ رُئِي;;;Gen 24: 62;
Beersheba;بِئْرِ سَبْعٍ.;34.84091582;31.24493365;Gen 21: 14;
Bethel (Luz);بَيْتَ إِيلَ (لوز);35.22090425;31.93061184;Gen 28: 19;
Bozrah;بُصْرَةَ;36.48830157;32.51611634;Gen 36: 33;
Cenan;كنعان;;;Gen 11:31;
Cities of the valley;مدن الدائرة;35.44040228;31.05346427;Gen 13 : 12;
Dan;دان;;;Gen 14: 14;
Dinhabah;دِنْهَابَةَ;35.52988198;30.33661319;Gen 36: 32;
Dothan;دُوثَانَ;35.17953669;32.42043118;Gen 37: 17;
East of Bethel;شرقي بيت ايل;;;Gen 12: 8;
Egypt;مصر;;;Gen 12: 10;
Elam;عيلام;51.19057973;28.83159347;Gen 14: 1;
Ellasar;السار;;;Gen 14: 1;
Ephrath (Bethlehem);أَفْرَاتَةَ ( بَيْتُ لَحْمٍ.);35.21024251;31.70533771;Gen 35: 19;
Floor of Atad (Abel Mizraim);) ابل مصرايم (بَيْدَرِ أَطَادَ;;;Gen 50: 11;
Galeed (Mizpah);يَجَرْ سَهْدُوثَا (جَلْعِيدَ، ٱلْمِصْفَاةَ);35.57332288;33.28169672;Gen 31: 48;
Gerar;جَرَارَ;34.67135994;31.38014308;Gen 20: 2;
Gilead;جِلْعَادَ;35.70289511;32.62658831;Gen 37: 25;
Goiim;جوييم;;;Gen 14: 1;
Gomorrah;عمورة;35.47450314;31.15720285;Gen 13: 10;
Goshen;جَاسَانَ;31.6568018;30.75452581;Gen 46: 34;
Ham;هَامَ;;;Gen 14: 5;
Haran;حاران;39.03219998;36.86386431;Gen 11:31;
Havilah;حَوِيلَةَ;44.2562948;16.35398415;Gen 25: 18;
Hebron (Kirjath Arba, oak trees of Mamre [the Amorite);حبرون (قرية اربع,بلوطات ممرا) ممرا;35.09392833;31.53526191;Gen 13 : 18, 23:19;
Hobah (north of Damascus);حوبة (شمال دمشق);36.76980805;35.22326578;Gen 14: 15;
Land of Moriah;أَرْضِ ٱلْمُرِيَّا ;35.2221601;31.7898423;Gen 22: 2;
Land of the Temanites; أَرْضِ ٱلتَّيْمَانِيِّ;;;Gen 36: 34;
Mahanaim;مَحَنَايِمَ;35.63294606;32.21470021;Gen 32: 1;
Masrekah;مَسْرِيقَةَ;;;Gen 36: 36;
Mesopotamia;أَرَامِ ٱلنَّهْرَيْنِ;44.51796689;33.01362571;Gen 24: 10;
Mountainous country of Seir;جبل سعير;;;Gen 14:6;
Mountains of Gilead;جَبَلِ جِلْعَادَ .;;;Gen 31: 21;
Oak tree of Moreh;بلوطة مورا;;;Gen 12: 6;
Padan Aram;فَدَّانِ أَرَامَ ;; ;Gen 28: 2;
Pau;فَاعُوَ;35.60623767;30.73450903;Gen 36: 39;
Penuel;فَنِيئِيلَ;35.7033664;32.18419731;Gen 32: 30;
Rameses;رَعَمْسِيسَ;32.18619364;30.59338548;Gen 47: 11;
Rehoboth-by-the-River;رَحُوبُوتِ ٱلنَّهْرِ;34.59712729;31.06663538;Gen 36: 37;
Shaveh-kiriathaim;شَوَى قَرْيَتَايِمَ;;;Gen 14: 5;
Shechem;شكيم;35.28063285;32.21160594;Gen 12: 6;
Shinar;شنعار;;;Gen 14: 1;
Shur;شُورَ;;;Gen 20: 1;
Sodom;سدوم;35.39030419;31.19685367;Gen 13: 10;
Succoth;سُكُّوتَ;35.6319397;32.19794935;Gen 33: 17;
Timnah;تِمْنَةَ;35.14764541;32.1206006;Gen 38: 12;
Ur of the Chaldeans;اور الكلدانين;46.10168206;30.95940234;Gen 11:28;
Valley of Shaveh (King’s Valley);عُمْقِ شَوَى (عُمْقُ ٱلْمَلِكِ);;;Gen 14: 17;
Way to Shur;طَرِيقِ شُورَ;;;Gen 15: 7;
Wilderness of Paran;بَرِّيَّةِ فَارَانَ;;;Gen 21: 21;
Zeboiim;صبويم;35.49556307;31.08741636;Gen 14:2;
Zoar;صُوغَرَ;;;Gen 19: 22;
Zoar (Bela);صوغر (بالع);;;Gen 13: 10;
;عَيْنَايِمَ;;;Gen 38: 14;
Tanis (Zoan);;31.8026;31.1424;;
Avaris (Rameses);;31.5708;30.7003;;
On (Helopolis);;31.2675;30.198;;
Gizeh;;31.214025;30.015406;;
Seqqavah;;31.2274;29.7321;;
Clopolis;;30.6432;29.0918;;
Akhetaton (Tell el- Amarna);;30.905888;27.657513;;
Hermopoliz;;30.7974;27.6852;;
Ben-Hasan;;30.87551;27.93451;;
Abydos;;32.08036;26.06469;;
Thebes (no);;32.6461;25.6415;;
El Kab;;32.8959;25.0418;;
Syene;;32.8814;24.0752;;
Serabit el- Khadim;;33.2769;28.9394;;
Negep;;;;;
Dor;;34.9226;32.6323;;
Mari;;41.0386;34.3639;;
Tell Halaf;;40.158;36.693;;
Ugarit;;35.7896;35.6662;;
Halab;;37.1652;36.2142;;
Ebla;;36.9243;35.8302;;
(Zinjirli);;36.6072;37.1076;;
Carchemish;;37.9332;36.7664;;
Alalakh;;36.412;36.2857;;
Berytes;;35.51415;33.86971;;
Gebal;;35.64545535;34.11917505;;
Gaza;;34.43335179;31.5247778;;
Ashkelon;;34.54719801;31.6623669;;
Joppa;;34.75043306;32.05351972;;
Dor;;34.91786703;32.61251302;;
Acco;;35.08226;32.92718;;
Tyre;;35.20287468;33.27037423;;
Sidon;;35.37046587;33.56116439;;
Beersheba;;34.84091582;31.24493365;;
Jerusalem;;35.23494171;31.77744415;;Jerusalem is a city in Western Asia. Situated on a plateau in the Judaean Mountains between the Mediterranean and the Dead Sea, it is one of the oldest cities in the world, and is considered holy for the three major Abrahamic religions: Judaism, Christianity, and Islam.
Jericho;;35.44387064;31.8706014;;
Shechem;;35.28063285;32.21160594;;
Megiddo;;35.18231017;32.58418668;;
Hazor;;35.56808923;33.01717022;;
Kedesh;;36.599;34.6754;;
Tadmor;;38.26178512;34.5509386;;
Hammath;;36.745;35.1409;;
Karkor;;36.4288;31.3876;;
Arvad;;35.88818302;34.86248922;;
Eridu;;46.1258;30.7947;;
Larsa;;45.9482;31.2578;;
Lagash;;46.3085;31.4102;;
Erech (Uruk);;45.7759;31.3386;;
Lsin;;45.4104;31.9194;;
Nippur;;45.1702;32.0751;;
Susa;;48.1831;32.1995;;
Kish;;44.6637;32.4566;;
Borsippa;;44.3556;32.2794;;
Babylon;;44.4601;32.4389;;
Cuthan;;44.6689;32.6821;;
Sippar;;44.3452;32.9247;;
Eshnunna;;44.6481;33.4165;;
Nuzi;;44.1024;35.148;;
Asshur;;42.5646;35.6823;;
Nineveh;;43.3035;36.2595;;
Arbela;;43.9092;36.0478;;
Ecbatana;;48.5878;34.9547;;
Malamir;;49.9167;32.0551;;
Pilmun;;50.5146;26.1104;;
Calah;;43.387;36.0902;;
Damascus;;36.3235;33.5099;;
Memphis (Noph);;31.25834;29.85737;;
